degree	specialization	cgpa	internship_experience	certifications	project_count	job_role
MCA	Computer Science	7.89	Yes	Yes	2	Software Developer
MCA	Information Technology	7.1	Yes	Yes	3	Software Developer
MCA	Information Technology	8.35	Yes	No	5	Business Analyst
MCA	Computer Science	7.95	No	Yes	3	Data Scientist
MCA	Business Analytics	8.45	Yes	Yes	8	Data Scientist
MBA	Information Technology	8.79	No	No	0	Software Developer
MCA	Information Technology	8.12	No	No	3	Business Analyst
MBA	Artificial Intelligence	9.51	No	No	3	ML Engineer
MCA	Information Technology	7.69	Yes	Yes	0	Software Developer
MBA	Information Technology	8.71	Yes	Yes	3	Software Developer
MCA	Artificial Intelligence	9.52	No	Yes	3	ML Engineer
MBA	Computer Science	7.77	No	No	6	Data Scientist
MBA	Information Technology	6.13	No	Yes	2	Business Analyst
B.Tech	Information Technology	8.53	Yes	No	0	Business Analyst
MBA	Information Technology	7.54	Yes	Yes	1	Business Analyst
B.Tech	Artificial Intelligence	9.97	No	Yes	5	ML Engineer
M.Sc	Business Analytics	8.98	No	Yes	6	Data Scientist
B.Tech	Computer Science	7.57	Yes	Yes	8	Data Scientist
M.Sc	Information Technology	7.83	No	No	1	Software Developer
M.Sc	Artificial Intelligence	8.08	Yes	No	6	ML Engineer
MCA	Artificial Intelligence	8.99	Yes	Yes	5	Data Scientist
MBA	Data Science	8.69	Yes	No	7	Data Scientist
MCA	Information Technology	7.77	No	No	2	Software Developer
B.Tech	Information Technology	7.31	Yes	Yes	2	Business Analyst
MBA	Computer Science	8.77	Yes	No	5	Software Developer
M.Sc	Business Analytics	6.68	Yes	No	2	Business Analyst
MCA	Business Analytics	8.01	Yes	Yes	3	Business Analyst
M.Sc	Business Analytics	8.08	Yes	No	7	Data Scientist
M.Sc	Information Technology	7.19	No	Yes	2	Software Developer
MBA	Information Technology	7.69	No	Yes	4	Software Developer
B.Tech	Information Technology	7.18	Yes	Yes	0	Business Analyst
MBA	Computer Science	6.4	No	No	1	Software Developer
MCA	Computer Science	9.78	No	No	7	Data Scientist
B.Tech	Business Analytics	7.22	Yes	No	0	Business Analyst
M.Sc	Data Science	9.73	Yes	Yes	5	ML Engineer
M.Sc	Computer Science	8.31	Yes	No	8	Data Scientist
MBA	Business Analytics	9.2	No	Yes	3	Data Scientist
M.Sc	Information Technology	8.32	Yes	Yes	5	Software Developer
MCA	Data Science	9.33	Yes	No	3	Data Scientist
B.Tech	Business Analytics	6.27	Yes	Yes	5	Business Analyst
M.Sc	Information Technology	7.69	Yes	Yes	4	Software Developer
MBA	Computer Science	7.69	Yes	No	2	Software Developer
MBA	Business Analytics	6.88	No	No	0	Business Analyst
MCA	Data Science	9.27	No	No	4	ML Engineer
M.Sc	Artificial Intelligence	9.91	Yes	Yes	4	ML Engineer
B.Tech	Computer Science	9.45	No	Yes	4	ML Engineer
B.Tech	Artificial Intelligence	8.35	No	Yes	6	ML Engineer
M.Sc	Artificial Intelligence	7.89	No	No	8	Data Scientist
M.Sc	Business Analytics	7.79	No	No	2	Business Analyst
B.Tech	Business Analytics	7.04	No	No	1	Business Analyst
MBA	Computer Science	9.55	Yes	No	7	ML Engineer
B.Tech	Data Science	9.13	No	No	8	ML Engineer
M.Sc	Information Technology	7.87	Yes	Yes	0	Software Developer
MCA	Information Technology	9.03	No	No	1	Software Developer
MCA	Data Science	9.77	Yes	Yes	6	ML Engineer
MCA	Computer Science	7.13	No	Yes	5	Software Developer
B.Tech	Data Science	9.86	Yes	Yes	7	ML Engineer
M.Sc	Information Technology	8.31	Yes	No	5	Software Developer
MBA	Information Technology	7.82	No	Yes	5	Software Developer
MBA	Business Analytics	10.0	No	Yes	6	Data Scientist
MCA	Information Technology	6.89	No	Yes	5	Business Analyst
MBA	Artificial Intelligence	9.11	Yes	No	8	ML Engineer
B.Tech	Information Technology	7.54	No	No	4	Business Analyst
MCA	Information Technology	7.94	Yes	No	2	Software Developer
M.Sc	Information Technology	8.1	Yes	No	1	Business Analyst
MBA	Computer Science	7.83	Yes	Yes	2	Software Developer
MBA	Business Analytics	8.33	No	No	3	Data Scientist
MBA	Artificial Intelligence	9.66	Yes	No	6	ML Engineer
MCA	Information Technology	8.28	No	No	3	Software Developer
M.Sc	Information Technology	8.63	No	Yes	2	Software Developer
MBA	Computer Science	8.29	Yes	Yes	1	Software Developer
M.Sc	Information Technology	7.69	Yes	Yes	0	Business Analyst
B.Tech	Information Technology	8.53	Yes	Yes	2	Business Analyst
MBA	Data Science	8.45	Yes	Yes	8	Data Scientist
B.Tech	Information Technology	8.11	No	No	0	Business Analyst
MCA	Data Science	10.0	Yes	Yes	5	ML Engineer
B.Tech	Computer Science	9.53	No	No	7	ML Engineer
B.Tech	Information Technology	8.4	No	No	0	Business Analyst
MCA	Computer Science	8.2	No	Yes	3	ML Engineer
MBA	Business Analytics	7.98	No	No	3	Business Analyst
M.Sc	Business Analytics	6.25	No	Yes	3	Business Analyst
MCA	Information Technology	7.49	Yes	No	0	Business Analyst
M.Sc	Business Analytics	8.74	Yes	No	3	Data Scientist
M.Sc	Information Technology	8.74	No	Yes	0	Software Developer
MBA	Business Analytics	6.21	No	No	0	Business Analyst
MBA	Computer Science	8.56	Yes	Yes	4	Data Scientist
M.Sc	Computer Science	7.5	No	No	4	Software Developer
MCA	Information Technology	7.14	No	No	2	Business Analyst
M.Sc	Computer Science	10.0	Yes	No	6	Data Scientist
MCA	Computer Science	9.36	No	No	3	ML Engineer
MBA	Business Analytics	9.53	No	Yes	1	Business Analyst
MBA	Information Technology	7.64	Yes	No	4	Software Developer
M.Sc	Computer Science	9.78	Yes	No	6	ML Engineer
M.Sc	Information Technology	5.0	Yes	No	4	Business Analyst
B.Tech	Computer Science	8.45	Yes	No	3	ML Engineer
M.Sc	Artificial Intelligence	8.05	No	Yes	8	ML Engineer
MBA	Information Technology	8.91	No	No	0	Software Developer
M.Sc	Information Technology	7.92	Yes	No	3	Business Analyst
MBA	Computer Science	8.36	No	No	5	Data Scientist
MBA	Artificial Intelligence	8.98	Yes	Yes	8	ML Engineer
MBA	Computer Science	8.54	Yes	Yes	4	Software Developer
B.Tech	Business Analytics	9.46	Yes	Yes	4	Data Scientist
MCA	Information Technology	7.02	No	No	4	Business Analyst
MBA	Artificial Intelligence	8.86	Yes	No	5	ML Engineer
MCA	Information Technology	7.78	Yes	No	1	Software Developer
MCA	Computer Science	7.34	No	No	0	Software Developer
B.Tech	Computer Science	9.01	No	Yes	8	ML Engineer
M.Sc	Business Analytics	8.48	Yes	Yes	3	Data Scientist
MCA	Artificial Intelligence	9.38	Yes	Yes	4	ML Engineer
MCA	Computer Science	8.14	Yes	Yes	5	Software Developer
M.Sc	Artificial Intelligence	9.96	No	Yes	6	Data Scientist
MBA	Data Science	9.27	Yes	No	5	ML Engineer
M.Sc	Artificial Intelligence	10.0	Yes	Yes	7	ML Engineer
MCA	Business Analytics	8.44	No	Yes	5	Data Scientist
MCA	Computer Science	9.92	No	No	6	ML Engineer
B.Tech	Business Analytics	8.56	Yes	No	7	Data Scientist
MCA	Information Technology	7.16	No	Yes	1	Business Analyst
B.Tech	Computer Science	8.23	No	No	5	Software Developer
B.Tech	Business Analytics	6.89	Yes	Yes	0	Business Analyst
MBA	Information Technology	7.98	No	Yes	0	Business Analyst
B.Tech	Business Analytics	7.58	Yes	Yes	4	Business Analyst
M.Sc	Computer Science	8.81	No	No	0	Software Developer
M.Sc	Artificial Intelligence	8.78	Yes	No	8	Data Scientist
M.Sc	Artificial Intelligence	8.77	No	No	3	Data Scientist
